exit_code: 0

stdout:
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         236  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         237  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         238  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         239  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         241  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         242  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         243  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         244  0.0  0.0      0     0 ?        S     4월05   0:04  \_ [migrat
root         245  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         247  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         248  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         249  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         250  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         251  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         253  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         254  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         255  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         256  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         257  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         259  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         260  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         261  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         262  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         263  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         265  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         266  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         267  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         268  0.0  0.0      0     0 ?        S     4월05   0:04  \_ [migrat
root         269  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
